> Mon Dec 14 08:07:38 2020 | Epoch [0077/0100] | duration: 682.6s | loss: 0.0283 | loss_d: 0.0055 | loss_r: 0.0228 | best: 0.0283 |
> Mon Dec 14 08:19:04 2020 | Epoch [0078/0100] | duration: 682.9s | loss: 0.0283 | loss_d: 0.0055 | loss_r: 0.0228 | best: 0.0283 |
> Mon Dec 14 08:30:26 2020 | Epoch [0079/0100] | duration: 682.6s | loss: 0.0281 | loss_d: 0.0054 | loss_r: 0.0227 | best: 0.0281 |
> Mon Dec 14 08:41:52 2020 | Epoch [0080/0100] | duration: 682.5s | loss: 0.0282 | loss_d: 0.0055 | loss_r: 0.0227 | best: 0.0281 |
> Mon Dec 14 08:53:15 2020 | Epoch [0081/0100] | duration: 682.6s | loss: 0.0281 | loss_d: 0.0055 | loss_r: 0.0226 | best: 0.0281 |
> Mon Dec 14 09:04:41 2020 | Epoch [0082/0100] | duration: 682.4s | loss: 0.0280 | loss_d: 0.0054 | loss_r: 0.0226 | best: 0.0280 |
> Mon Dec 14 09:16:06 2020 | Epoch [0083/0100] | duration: 682.8s | loss: 0.0279 | loss_d: 0.0053 | loss_r: 0.0226 | best: 0.0279 |
> Mon Dec 14 09:27:31 2020 | Epoch [0084/0100] | duration: 682.8s | loss: 0.0279 | loss_d: 0.0054 | loss_r: 0.0225 | best: 0.0279 |
> Mon Dec 14 09:38:56 2020 | Epoch [0085/0100] | duration: 682.9s | loss: 0.0278 | loss_d: 0.0053 | loss_r: 0.0225 | best: 0.0278 |
> Mon Dec 14 09:50:20 2020 | Epoch [0086/0100] | duration: 682.7s | loss: 0.0279 | loss_d: 0.0053 | loss_r: 0.0226 | best: 0.0278 |
> Mon Dec 14 10:01:43 2020 | Epoch [0087/0100] | duration: 682.8s | loss: 0.0277 | loss_d: 0.0053 | loss_r: 0.0224 | best: 0.0277 |
> Mon Dec 14 10:13:10 2020 | Epoch [0088/0100] | duration: 682.7s | loss: 0.0277 | loss_d: 0.0053 | loss_r: 0.0224 | best: 0.0277 |
> Mon Dec 14 10:24:35 2020 | Epoch [0089/0100] | duration: 683.3s | loss: 0.0276 | loss_d: 0.0053 | loss_r: 0.0223 | best: 0.0276 |
> Mon Dec 14 10:36:00 2020 | Epoch [0090/0100] | duration: 682.9s | loss: 0.0275 | loss_d: 0.0052 | loss_r: 0.0223 | best: 0.0275 |
> Mon Dec 14 10:47:25 2020 | Epoch [0091/0100] | duration: 682.9s | loss: 0.0275 | loss_d: 0.0052 | loss_r: 0.0223 | best: 0.0275 |
> Mon Dec 14 10:58:49 2020 | Epoch [0092/0100] | duration: 682.8s | loss: 0.0274 | loss_d: 0.0052 | loss_r: 0.0222 | best: 0.0274 |
> Mon Dec 14 11:10:14 2020 | Epoch [0093/0100] | duration: 683.1s | loss: 0.0275 | loss_d: 0.0052 | loss_r: 0.0223 | best: 0.0274 |
> Mon Dec 14 11:21:38 2020 | Epoch [0094/0100] | duration: 683.1s | loss: 0.0273 | loss_d: 0.0051 | loss_r: 0.0222 | best: 0.0273 |
> Mon Dec 14 11:33:04 2020 | Epoch [0095/0100] | duration: 682.8s | loss: 0.0273 | loss_d: 0.0051 | loss_r: 0.0221 | best: 0.0273 |
> Mon Dec 14 11:44:29 2020 | Epoch [0096/0100] | duration: 683.2s | loss: 0.0272 | loss_d: 0.0051 | loss_r: 0.0221 | best: 0.0272 |
> Mon Dec 14 11:55:54 2020 | Epoch [0097/0100] | duration: 682.8s | loss: 0.0272 | loss_d: 0.0052 | loss_r: 0.0221 | best: 0.0272 |
> Mon Dec 14 12:07:17 2020 | Epoch [0098/0100] | duration: 682.8s | loss: 0.0274 | loss_d: 0.0052 | loss_r: 0.0221 | best: 0.0272 |
> Mon Dec 14 12:18:42 2020 | Epoch [0099/0100] | duration: 682.8s | loss: 0.0272 | loss_d: 0.0052 | loss_r: 0.0221 | best: 0.0272 |
